end station id,end station name,end station latitude,end station longitude
3674,Jay St & York St,40.70140317257725,-73.98672670125961
3467,W Broadway & Spring Street,40.72494672359416,-74.00165855884552
363,West Thames St,40.70834698,-74.01713445
496,E 16 St & 5 Ave,40.73726186,-73.99238967
309,Murray St & West St,40.7149787,-74.013012
319,Fulton St & Broadway,40.711065999999995,-74.009447
392,Jay St & Tech Pl,40.695065,-73.987167
351,Front St & Maiden Ln,40.70530954,-74.00612572
128,MacDougal St & Prince St,40.72710258,-74.00297088
376,John St & William St,40.70862144,-74.00722156
525,W 34 St & 11 Ave,40.75594159,-74.0021163
355,Bayard St & Baxter St,40.71602118,-73.99974372
254,W 11 St & 6 Ave,40.73532427,-73.99800419
268,Howard St & Centre St,40.71910537,-73.99973337
442,W 27 St & 7 Ave,40.746646999999996,-73.993915
146,Hudson St & Reade St,40.71625008,-74.0091059
377,6 Ave & Canal St,40.72243797,-74.00566443
519,Pershing Square North,40.751872999999996,-73.97770600000001
2008,Little West St & 1 Pl,40.70569254,-74.01677685
3256,Pier 40 - Hudson River Park,40.7277140777778,-74.01129573583603
83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328
3649,W 129 St & Convent Ave,40.81439443791581,-73.95324736833571
244,Willoughby Ave & Hall St,40.69196035,-73.96536851
3992,W 169 St & Fort Washington Ave,40.8428422,-73.9421253
3623,W 120 St & Claremont Ave,40.8109494,-73.9634
476,E 31 St & 3 Ave,40.74394314,-73.97966069
480,W 53 St & 10 Ave,40.76669671,-73.99061728
